CSV_File,THRESH,EBM_AVG_SUCCESS,MSE_AVG_SUCCESS,MSE_EBM_AVG,MSE_MSE_AVG
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.1,0.99,0.985,0.013431917306703576,0.01192062121445887
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.1,0.995,0.995,0.008703921821926945,0.004145467421282289
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.1,0.98,0.97,0.012422049890824753,0.008116006749683019
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.05,0.94,0.92,0.013431917306703576,0.01192062121445887
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.05,0.975,0.98,0.008703921821926945,0.004145467421282289
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.05,0.95,0.945,0.012422049890824753,0.008116006749683019
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.03,0.855,0.885,0.013431917306703576,0.01192062121445887
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.03,0.95,0.96,0.008703921821926945,0.004145467421282289
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.03,0.925,0.94,0.012422049890824753,0.008116006749683019
/app/test_set_pt_and_tf/20220622_L2b-D4_l2cs/output.csv,0.01,0.655,0.74,0.013431917306703576,0.01192062121445887
/app/test_set_pt_and_tf/20220623_L3c_D5_l2cs/output.csv,0.01,0.755,0.91,0.008703921821926945,0.004145467421282289
/app/test_set_pt_and_tf/20220630_L4c-D8_l2cs/output.csv,0.01,0.695,0.9,0.012422049890824753,0.008116006749683019
